Dates,Satelite,Relaive_orbit,median_waterlevel
2016-04-03,SENTINEL_A,303,208.0667225
2016-04-06,SENTINEL_A,355,208.4498267
2016-04-10,SENTINEL_A,27,207.92634575
2016-04-14,SENTINEL_A,84,207.7944822
2016-04-22,SENTINEL_A,189,208.24103175
2016-04-26,SENTINEL_A,246,208.17208815
2016-04-30,SENTINEL_A,303,208.32167005
2016-05-03,SENTINEL_A,355,208.5710189
2016-05-07,SENTINEL_A,27,208.4057471
2016-05-08,SENTINEL_A,32,312.0791
2016-05-11,SENTINEL_A,84,208.3301243
2016-05-15,SENTINEL_A,132,208.4319316
2016-05-15,SENTINEL_A,141,208.809
2016-05-19,SENTINEL_A,189,208.40553835
2016-05-19,SENTINEL_A,198,279.80905
2016-05-23,SENTINEL_A,246,208.27093595
2016-05-27,SENTINEL_A,303,208.42503805
2016-05-30,SENTINEL_A,355,208.7675419
2016-06-03,SENTINEL_A,27,208.48225455
2016-06-07,SENTINEL_A,84,208.5761561
2016-06-11,SENTINEL_A,132,208.6016259
2016-06-11,SENTINEL_A,141,239.9229
2016-06-15,SENTINEL_A,189,208.6977776
2016-06-19,SENTINEL_A,246,208.5936612
2016-06-23,SENTINEL_A,303,208.7059693
2016-06-26,SENTINEL_A,355,209.000924
2016-06-30,SENTINEL_A,27,208.83461815
2016-07-04,SENTINEL_A,84,208.7887648
2016-07-08,SENTINEL_A,132,209.0965458
2016-07-08,SENTINEL_A,141,312.3194
2016-07-12,SENTINEL_A,189,208.948617
2016-07-16,SENTINEL_A,246,208.8185113
2016-07-20,SENTINEL_A,303,208.85191025
2016-07-23,SENTINEL_A,355,209.02974075
2016-07-24,SENTINEL_A,360,208.6783
2016-07-27,SENTINEL_A,27,208.83710605
2016-07-31,SENTINEL_A,84,208.8334621
2016-08-04,SENTINEL_A,132,208.8394944
2016-08-04,SENTINEL_A,141,306.4653
2016-08-08,SENTINEL_A,189,208.9518263
2016-08-12,SENTINEL_A,246,208.7957236
2016-08-16,SENTINEL_A,303,208.8860556
2016-08-19,SENTINEL_A,355,209.1012629
2016-08-20,SENTINEL_A,360,208.66
2016-08-23,SENTINEL_A,27,208.8036249
2016-08-27,SENTINEL_A,84,208.69944165
2016-09-04,SENTINEL_A,189,208.91214315
2016-09-08,SENTINEL_A,246,208.8208311
2016-09-12,SENTINEL_A,303,208.9283457
2016-09-15,SENTINEL_A,355,209.14679225
2016-09-19,SENTINEL_A,27,208.9376276
2016-09-23,SENTINEL_A,84,208.9325521
2016-09-27,SENTINEL_A,132,209.10526995
2016-09-27,SENTINEL_A,141,238.7929
2016-10-01,SENTINEL_A,189,209.0389197
2016-10-01,SENTINEL_A,198,282.52205
2016-10-05,SENTINEL_A,246,208.8737517
2016-10-09,SENTINEL_A,303,208.9719729
2016-10-12,SENTINEL_A,355,209.1405921
2016-10-13,SENTINEL_A,360,208.8414
2016-10-16,SENTINEL_A,27,208.9217248
2016-10-20,SENTINEL_A,84,208.91720095
2016-10-24,SENTINEL_A,132,209.03530285
2016-10-28,SENTINEL_A,189,209.0022211
2016-10-28,SENTINEL_A,198,316.0024499
2016-11-01,SENTINEL_A,246,208.90208275
2016-11-05,SENTINEL_A,303,208.987898
2016-11-08,SENTINEL_A,355,209.07466055
2016-11-12,SENTINEL_A,27,208.93921355
2016-11-16,SENTINEL_A,84,208.901614
2016-11-20,SENTINEL_A,132,208.9283908
2016-11-20,SENTINEL_A,141,274.768
2016-11-24,SENTINEL_A,189,209.0151928
2016-11-24,SENTINEL_A,198,309.5540498
2016-11-28,SENTINEL_A,246,208.9162537
2016-12-02,SENTINEL_A,303,209.0158952
2016-12-05,SENTINEL_A,355,245.1924096
2016-12-06,SENTINEL_A,360,208.84
2016-12-09,SENTINEL_A,27,208.7758951
2016-12-13,SENTINEL_A,84,208.7993081
2016-12-17,SENTINEL_A,132,208.8484743
2016-12-17,SENTINEL_A,141,264.9413
2016-12-21,SENTINEL_A,189,208.4493797
2016-12-21,SENTINEL_A,198,313.6299
2016-12-25,SENTINEL_A,246,208.7005891
2016-12-29,SENTINEL_A,303,208.99816325
2017-01-01,SENTINEL_A,355,208.9210552
2017-01-05,SENTINEL_A,27,208.0796496
2017-01-09,SENTINEL_A,84,208.91547315
2017-01-13,SENTINEL_A,132,208.950073
2017-01-13,SENTINEL_A,141,266.8969
2017-01-17,SENTINEL_A,189,208.8060683
2017-01-17,SENTINEL_A,198,294.7754001
2017-01-21,SENTINEL_A,246,208.8564817
2017-01-25,SENTINEL_A,303,208.9888755
2017-01-28,SENTINEL_A,355,209.13573075
2017-02-01,SENTINEL_A,27,208.3424257
2017-02-05,SENTINEL_A,84,208.89720895
2017-02-09,SENTINEL_A,132,209.1363034
2017-02-09,SENTINEL_A,141,237.6846
2017-02-13,SENTINEL_A,189,209.1831983
2017-02-17,SENTINEL_A,246,208.9646333
2017-02-21,SENTINEL_A,303,208.9539254
2017-02-24,SENTINEL_A,355,209.223163
2017-02-25,SENTINEL_A,360,208.5071999
2017-03-01,SENTINEL_A,32,312.2014001
2017-03-04,SENTINEL_A,84,208.6819165
2017-03-08,SENTINEL_A,132,208.9457163
2017-03-08,SENTINEL_A,141,384.8464999
2017-03-12,SENTINEL_A,189,208.6367955
2017-03-12,SENTINEL_A,198,311.6617
2017-03-16,SENTINEL_A,246,208.6162996
2017-03-20,SENTINEL_A,303,208.8474789
2017-03-23,SENTINEL_A,355,209.0192988
2017-03-27,SENTINEL_A,27,208.3471065
2017-03-31,SENTINEL_A,84,208.3050104
2017-04-04,SENTINEL_A,132,208.9563925
2017-04-08,SENTINEL_A,189,208.9550728
2017-04-12,SENTINEL_A,246,208.8345445
2017-04-16,SENTINEL_A,303,208.9348891
2017-04-19,SENTINEL_A,355,209.18033255
2017-04-20,SENTINEL_A,360,208.7770499
2017-04-23,SENTINEL_A,27,208.61304835
2017-04-24,SENTINEL_A,32,208.9927499
2017-04-27,SENTINEL_A,84,208.9615571
2017-05-01,SENTINEL_A,132,209.1259377
2017-05-01,SENTINEL_A,141,350.1703998
2017-05-05,SENTINEL_A,189,209.189648
2017-05-09,SENTINEL_A,246,208.8842141
2017-05-16,SENTINEL_A,355,209.3274161
2017-05-20,SENTINEL_A,27,209.1074082
2017-05-21,SENTINEL_A,32,294.2445999
2017-05-24,SENTINEL_A,84,209.1162738
2017-05-28,SENTINEL_A,132,209.4448382
2017-05-28,SENTINEL_A,141,209.1718
2017-06-01,SENTINEL_A,189,209.46519425
2017-06-01,SENTINEL_A,198,296.6435
2017-06-05,SENTINEL_A,246,209.3425586
2017-06-09,SENTINEL_A,303,209.476538
2017-06-12,SENTINEL_A,355,209.8195823
2017-06-16,SENTINEL_A,27,209.54536795
2017-06-20,SENTINEL_A,84,209.5685758
2017-06-24,SENTINEL_A,132,209.77986265
2017-06-24,SENTINEL_A,141,209.6501
2017-06-28,SENTINEL_A,189,209.7369444
2017-06-28,SENTINEL_A,198,294.8538999
2017-07-02,SENTINEL_A,246,209.5867748
2017-07-06,SENTINEL_A,303,209.6611777
2017-07-09,SENTINEL_A,355,209.8377891
2017-07-13,SENTINEL_A,27,209.6798301
2017-07-17,SENTINEL_A,84,209.6099596
2017-07-21,SENTINEL_A,132,209.7050741
2017-07-21,SENTINEL_A,141,209.9644999
2017-07-25,SENTINEL_A,189,209.715598
2017-07-25,SENTINEL_A,198,291.8313
